Page,Question,Answer
page_4.png,What was the total amount of cash dividends returned to shareholders by BHP since 1 July 2021?,BHP has returned over US$42 billion in cash dividends to shareholders since 1 July 2021.  
page_4.png,"What was BHP’s global economic contribution in FY2024, including payments to governments?",BHP’s global economic contribution was US$49.2 billion in FY2024.  
page_4.png,What was the year-on-year percentage increase in female employee participation at BHP in FY2024?,"There was a 1.9 percentage point year-on-year increase in female employee participation in FY2024, reaching 37.1 percent by year end.  "
page_4.png,What were the Indigenous employee participation rates achieved by BHP in Chile and Canada in FY2024?,Indigenous employee participation reached 10.1 percent in Chile and 11.2 percent in Canada by year end.  
page_4.png,"How much did BHP invest in voluntary social investment, including community and environmental initiatives, in FY2024?",BHP invested US$137 million in voluntary social investment in FY2024.  
page_4.png,What is the main focus of BHP’s portfolio as described in the Chair’s review?,"BHP’s portfolio is focused on world-class assets that are critical to the future, positioned for growth, resilient, and able to withstand volatility.  "
page_4.png,What progress did BHP report regarding its Climate Transition Action Plan 2024?,"The Climate Transition Action Plan 2024 provides an update on BHP’s climate change strategy, progress, and plans in relation to operational greenhouse gas emissions goals and targets.  "
page_4.png,"Who joined the BHP Board as Non-executive Directors in FY2024, and what relevant experience do they bring?","Ross McEwan joined as a Non-executive Director on 3 April 2024, bringing experience in financial services, capital allocation, risk management, and value creation. Don Lindsay joined on 1 May 2024, bringing over 40 years of experience in resources, financial markets, and value creation.  "
page_4.png,What is BHP’s approach to creating social value as outlined in the report?,"BHP’s approach to creating social value is integrated into its capital allocation framework and social value framework, focusing on decarbonisation, the environment, Indigenous partnerships, workforce, communities, and supply chains.  "
page_4.png,What is the outlook for BHP in FY2025 according to the Chair’s review?,"The outlook notes that economic conditions are expected to remain challenging in FY2025 due to geopolitical issues, but BHP is confident in its ability to continue creating sustainable long-term value for shareholders and stakeholders."
page_5.png,What was BHP’s underlying attributable profit for FY2024?,BHP’s underlying attributable profit for FY2024 was US$13.7 billion.  
page_5.png,"How much in dividends will BHP distribute for the year, and what is the per share amount?",BHP will distribute dividends totaling 146 US cents per share for the year.  
page_5.png,What significant operational achievement did BHP report at Western Australia Iron Ore (WAIO) in FY2024?,"BHP achieved an annual production record at Western Australia Iron Ore (WAIO), which is also the world’s lowest-cost iron ore producer.  "
page_5.png,What progress has been made on the Jansen potash project in Canada?,"Construction of the Jansen potash project in Canada is ahead of the original schedule, with first production expected in just over two years, and Jansen Stage 2 has been approved.  "
page_5.png,What was the outcome of BHP’s integration of Prominent Hill and Carrapateena with Olympic Dam?,"The integration delivered greater-than-expected synergies and increased South Australia’s copper production beyond 500 kilotonnes per annum (ktpa), with further potential up to 650 ktpa.  "
page_5.png,What strategic action did BHP take regarding its steelmaking coal portfolio in Queensland?,"BHP sold the Daunia and Blackwater mines to its joint venture partner BMA, positioning BMA well for forecasted strong demand for higher-quality steelmaking coal.  "
page_5.png,How did BHP’s Indigenous employment and supplier engagement change in FY2024?,"Indigenous employment globally increased by 83 percent, and BHP spent more than US$3.3 billion with Indigenous businesses, supporting over 2,600 small, local Indigenous businesses.  "
page_5.png,"What is BHP’s approach to innovation and technology, particularly regarding artificial intelligence?","BHP is applying artificial intelligence and advanced data analytics to large-scale, repeatable processes, which has helped save more than three gigalitres of water and 118 gigawatt-hours of energy since FY2022.  "
page_5.png,What decision did BHP make regarding its Western Australia Nickel operations in July 2024?,BHP made the difficult decision to transition Western Australia Nickel into a period of temporary suspension due to global oversupply of nickel.  
page_5.png,What are the three strategic pillars of BHP’s winning strategy as outlined in the report?,"The three strategic pillars are safety and sustainability, exceptional performance, and winning portfolio."
page_16.png,What was BHP's total direct economic contribution in FY2024?,BHP's total direct economic contribution in FY2024 was US$49.2 billion.  
page_16.png,How much did BHP pay to governments in FY2024?,BHP paid US$11.2 billion to governments in FY2024.  
page_16.png,What was the underlying return on capital employed for BHP in FY2024?,The underlying return on capital employed for BHP in FY2024 was 27.2%.  
page_16.png,What was the shareholder dividend per share declared for FY2024?,The shareholder dividend per share declared for FY2024 was 146 US cents.  
page_16.png,"By what percentage did BHP's underlying EBITDA increase in FY2024, and what was the total amount?",BHP's underlying EBITDA increased by 4 percent to US$29 billion in FY2024.  
page_16.png,"What was BHP's underlying EBITDA margin in FY2024, and how many consecutive years has it remained above 50 percent?","BHP's underlying EBITDA margin was 54 percent in FY2024, marking the eighth consecutive year above 50 percent.  "
page_16.png,How much did BHP invest in major development and sustaining capital in FY2024?,BHP invested US$9.3 billion in major development and sustaining capital in FY2024.  
page_16.png,What was the effective tax rate for BHP in FY2024 before and after royalties?,"BHP's global adjusted effective tax rate in FY2024 was 32.5 percent, increasing to 41.7 percent once royalties are included.  "
page_16.png,How did BHP's Western Australia Iron Ore (WAIO) perform in terms of cost competitiveness in FY2024?,WAIO has been the lowest cost iron ore producer globally for over four years and extended its lead in FY2024.  
page_16.png,"What was the total cash dividend to shareholders for FY2024, and what payout ratio does this represent?","The total cash dividend to shareholders for FY2024 will be US$7.4 billion, representing a 54 percent cash payout ratio. "
page_17.png,What was BHP's total revenue for the year ended 30 June 2024?,"BHP's total revenue for the year ended 30 June 2024 was US$55,658 million.  "
page_17.png,How much profit after taxation from continuing operations did BHP report for 2024?,"BHP reported a profit after taxation from continuing operations of US$9,601 million for 2024.  "
page_17.png,What were the total net assets reported by BHP as of 30 June 2024?,"BHP reported total net assets of US$49,120 million as of 30 June 2024.  "
page_17.png,What was the amount of dividends per ordinary share paid during the period in 2024?,The dividends per ordinary share paid during the period in 2024 were 152.0 US cents.  
page_17.png,What was BHP's underlying EBITDA for the year ended 30 June 2024?,"BHP's underlying EBITDA for the year ended 30 June 2024 was US$29,016 million.  "
page_17.png,How did BHP's underlying return on capital employed change from 2023 to 2024?,BHP's underlying return on capital employed decreased from 28.8% in 2023 to 27.2% in 2024.  
page_17.png,What was the net operating cash flow for BHP in 2024?,"BHP's net operating cash flow for 2024 was US$20,665 million.  "
page_17.png,How much did BHP spend on capital and exploration and evaluation expenditure in 2024?,"BHP spent US$9,273 million on capital and exploration and evaluation expenditure in 2024.  "
page_17.png,What is the basic earnings per ordinary share for BHP in 2024?,The basic earnings per ordinary share for BHP in 2024 was 155.8 US cents.  
page_17.png,"According to the report, what accounting standards does BHP use for its Consolidated Financial Statements?","BHP prepares its Consolidated Financial Statements in accordance with International Financial Reporting Standards (IFRS), as issued by the International Accounting Standards Board."
page_18.png,What was BHP's profit after taxation from Continuing and Discontinued operations for the year ended 30 June 2024?,"BHP's profit after taxation from Continuing and Discontinued operations for the year ended 30 June 2024 was US$9,601 million.  "
page_18.png,What was the net operating cash flow from Continuing operations for BHP in FY2024?,"The net operating cash flow from Continuing operations for BHP in FY2024 was US$20,665 million.  "
page_18.png,What is the underlying return on capital employed reported by BHP for FY2024?,The underlying return on capital employed reported by BHP for FY2024 is 27.2%.  
page_18.png,How much revenue did BHP generate from Continuing operations in FY2024?,"BHP generated US$55,658 million in revenue from Continuing operations in FY2024.  "
page_18.png,What were BHP's total taxation expenses for the year ended 30 June 2024?,"BHP's total taxation expenses for the year ended 30 June 2024 were US$6,447 million.  "
page_18.png,What was BHP's underlying attributable profit for FY2024?,"BHP's underlying attributable profit for FY2024 was US$13,600 million.  "
page_18.png,What is the purpose of using underlying attributable profit according to BHP's financial review?,Underlying attributable profit allows the comparability of underlying financial performance by excluding the impacts of exceptional items.  
page_18.png,How much were BHP's net finance costs for the year ended 30 June 2024?,"BHP's net finance costs for the year ended 30 June 2024 were US$1,489 million.  "
page_18.png,What was the profit from operations for BHP in FY2024?,"The profit from operations for BHP in FY2024 was US$17,537 million.  "
page_18.png,How much profit after taxation was attributable to BHP shareholders in FY2024?,"The profit after taxation attributable to BHP shareholders in FY2024 was US$7,897 million. "
page_19.png,What was BHP's profit after taxation attributable to shareholders for FY2024?,BHP's profit after taxation attributable to shareholders for FY2024 was US$7.9 billion.  
page_19.png,"By how much did BHP's revenue increase in FY2024 compared to FY2023, and what was the main driver?","BHP's revenue increased by US$1.8 billion, or 3 percent, in FY2024 compared to FY2023, mainly due to higher average realized prices for iron ore and copper.  "
page_19.png,"What was the total exceptional loss for BHP in FY2024, and what were its main components?","The total exceptional loss for BHP in FY2024 was US$5.8 billion, mainly comprising a US$3.7 billion non-cash impairment at Western Australia Nickel (WAN) and a US$3.8 billion relating to Samarco dam failure impacts, partially offset by a gain of US$0.7 billion from the sale of Blackwater and Daunia coal assets.  "
page_19.png,"How did BHP's net finance costs in FY2024 compare to FY2023, and what factors contributed to this result?","Net finance costs of US$1.5 billion in FY2024 were in line with FY2023, primarily due to higher market interest rates, offset by a reduction in closure and rehabilitation provision discounting due to lower global inflation rates and higher capitalized interest mainly at Potash.  "
page_19.png,"What was the total taxation expense for BHP in FY2024, and what was the primary reason for its decrease from FY2023?","The total taxation expense for BHP in FY2024 was US$6.4 billion, a decrease of US$0.6 billion or 9 percent from FY2023, primarily due to a tax benefit of US$1.0 billion in relation to the impairment of WAN.  "
page_19.png,What was BHP's Underlying EBITDA for the year ended 30 June 2024?,"BHP's Underlying EBITDA for the year ended 30 June 2024 was US$29,016 million.  "
page_19.png,"How did changes in sales prices impact BHP's Underlying EBITDA in FY2024, and which commodities were most affected?","Changes in sales prices increased Underlying EBITDA by US$1,476 million, driven by higher average realized prices for iron ore and copper, partially offset by lower average realized prices for thermal coal and nickel.  "
page_19.png,What was the impact of operating cash costs on BHP's Underlying EBITDA in FY2024?,"Operating cash costs reduced Underlying EBITDA by US$655 million, mainly due to higher costs at WAIO, NSWE, Escondida, and WAN.  "
page_19.png,What was the effect of ceased and sold operations on BHP's Underlying EBITDA in FY2024?,"Ceased and sold operations reduced Underlying EBITDA by US$610 million, primarily due to lower contribution from the Blackwater and Daunia mines divested in April 2024.  "
page_19.png,What was the contribution of new and acquired operations to BHP's Underlying EBITDA in FY2024?,"New and acquired operations contributed US$528 million to Underlying EBITDA, mainly from Copper SA following the acquisition of OZL."
page_20.png,What was BHP's net operating cash flow from continuing operations for the year ended 30 June 2024?,"BHP's net operating cash flow from continuing operations for the year ended 30 June 2024 was US$20,665 million.  "
page_20.png,How did BHP's net investing cash flows from continuing operations change from FY2023 to FY2024?,"Net investing cash flows from continuing operations improved from an outflow of US$13,065 million in FY2023 to an outflow of US$8,762 million in FY2024.  "
page_20.png,What was the net increase or decrease in cash and cash equivalents for BHP in FY2024?,There was a net increase in cash and cash equivalents of US$234 million in FY2024.  
page_20.png,"What was BHP's underlying return on capital employed (ROCE) for FY2024, and how did it compare to FY2023?","The underlying ROCE for FY2024 was 27.2 percent, a decrease of 1.6 percentage points from FY2023.  "
page_20.png,What were BHP's interest bearing liabilities and cash and cash equivalents at the end of FY2024?,Interest bearing liabilities were US$20.7 billion and cash and cash equivalents were US$12.5 billion at the end of FY2024.  
page_20.png,"What was BHP's net debt at 30 June 2024, and how did it change compared to the previous year?","Net debt was US$9.1 billion at 30 June 2024, a decrease of US$2.0 billion compared to the previous year.  "
page_20.png,"What was BHP's gearing ratio at 30 June 2024, and how did it compare to 30 June 2023?","The gearing ratio was 15.7 percent at 30 June 2024, compared to 18.7 percent at 30 June 2023.  "
page_20.png,What were the main factors contributing to the decrease in BHP's net investing cash outflows from continuing operations in FY2024?,The decrease was mainly due to the non-recurrence of the US$5.9 billion OZL acquisition in FY2023 and proceeds from the divestment of BHP’s interest in Blackwater and Daunia coal operations.  
page_20.png,What objectives does BHP state for its debt and liquidity management policies?,"The objectives are a strong balance sheet through the cycle, diversification of funding sources, and maintaining borrowings and excess cash predominantly in US dollars.  "
page_20.png,How much debt did Escondida repay and how much did it receive in proceeds from debt in the period?,Escondida repaid US$3.0 billion of debt and received proceeds from debt of US$0.4 billion in the period. 
